('Factors Affecting the Sense of Scale in Immersive, Realistic Virtual Reality Space', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_1')
('Capsule Network Versus Convolutional Neural Network in Image Classification', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_2')
('State-of-the-Art in 3D Face Reconstruction from a Single RGB Image', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_3')
('Towards Understanding Time Varying Triangle Meshes', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_4')
('Semantic Similarity Metric Learning for Sketch-Based 3D Shape Retrieval', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_5')
('ScatterPlotAnalyzer: Digitizing Images of Charts Using Tensor-Based Computational Model', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_6')
('EEG-Based Emotion Recognition Using Convolutional Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_7')
('Improving Deep Object Detection Backbone with Feature Layers', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_8')
('Procedural Level Generation with Difficulty Level Estimation for Puzzle Games', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_9')
('ELSA: Euler-Lagrange Skeletal Animations - Novel and Fast Motion Model Applicable to VR/AR Devices', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_10')
('Composite Generalized Elliptic Curve-Based Surface Reconstruction', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_11')
('Supporting Driver Physical State Estimation by Means of Thermal Image Processing', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_12')
('Smart Events in Behavior of Non-player Characters in Computer Games', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_13')
('Place Inference via Graph-Based Decisions on Deep Embeddings and Blur Detections', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_14')
('Football Players Movement Analysis in Panning Videos', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_15')
('Shape Reconstruction from Point Clouds Using Closed Form Solution of a Fourth-Order Partial Differential Equation', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_16')
('Addressing Missing Data in a Healthcare Dataset Using an Improved kNN Algorithm', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_17')
('Improving Wildfire Simulations by Estimation of Wildfire Wind Conditions from Fire Perimeter Measurements', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_18')
('Scalable Statistical Inference of Photometric Redshift via Data Subsampling', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_19')
('Timeseries Based Deep Hybrid Transfer Learning Frameworks: A Case Study of Electric Vehicle Energy Prediction', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_20')
('Hybrid Machine Learning for Time-Series Energy Data for Enhancing Energy Efficiency in Buildings', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_21')
('I-80 Closures: An Autonomous Machine Learning Approach', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_22')
('Energy Consumption Prediction for Multi-functional Buildings Using Convolutional Bidirectional Recurrent Neural Networks', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_23')
('Deep Learning for Solar Irradiance Nowcasting: A Comparison of a Recurrent Neural Network and Two Traditional Methods', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_24')
('Automatic-differentiated Physics-Informed Echo State Network (API-ESN)', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_25')
('A Machine Learning Method for Parameter Estimation and Sensitivity Analysis', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_26')
('Auto-Encoded Reservoir Computing for Turbulence Learning', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_27')
('Low-Dimensional Decompositions for Nonlinear Finite Impulse Response Modeling', 'https://link.springer.com/chapter/10.1007/978-3-030-77977-1_28')
